SKU,FSN,Title,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Other Feature,Description,Highlights,Variation,Rating,Review,RPDV2
BVNEOROMAS550,BOTGTNZ6WSUZEGMZ,,,,,,,,,,,,,,
BVCRTPRIS1000,BOTGTNZ6ZAFHAZGG,,,,,,,,,,,,,,
BVCRTROMA1000,BOTGTNZ6Y37SNNEV,,,,,,,,,,,,,,
BVNRVISTS550,BOTGTNZ6ZKVVMAGG,,,,,,,,,,,,,,
BVNEOGLACS550,BOTGTNZ6UHEQFAPC,,,,,,,,,,,,,,
BVCRTVISTNR1L,BOTGTNZ68S7WDMZU,,,,,,,,,,,,,,
BVNEOPRISS550,BOTGTNZ5H9H3GBX3,,,,,,,,,,,,,,
BVCRTPRISNR1L,BOTGTNZ6TUHGG78N,,,,,,,,,,,,,,
BVCRTSINS1000,BOTGTNZ6R5VFFRA7,,,,,,,,,,,,,,
BVNEOGBSS550,BOTGYDWKXEF67G7T,,,,,,,,,,,,,,
FGBUD500BEI_1,BOTFEHZF5TSNZRZ8,,,,,,,,,,,,,,
BAF0830GRY39,BOTGTG34KBH9VW76,,,,,,,,,,,,,,
BLIS0500RD38,BOTGTG32GFBZJCSU,,,,,,,,,,,,,,
BSW750BK34-4,BOTGZVM6KYQQH6KQ,,,,,,,,,,,,,,
BAF0830BLK39,BOTGTG33Y2GEPDXC,,,,,,,,,,,,,,
BLIS0500BK37,BOTGTG34WC7M3FAA,,,,,,,,,,,,,,
MUG540BLK40,BOTGTG3FZACJSGQR,,,,,,,,,,,,,,
BVUNEPNK550_1,BOTFT5JEHFFFHWFG,,,,,,,,,,,,,,
FLKT1LBLK15,BOTGY5D5Q2YXYUWU,,,,,,,,,,,,,,
HDECOCOPRGRE,BOTGR5ST7EHHMFVN,,,,,,,,,,,,,,
FGFTL500BLA,BOTF7Q4VQY6HPZVP,,,,,,,,,,,,,,
ICSLMSS550MEC,BOTFVEJQZFZYDGKU,,,,,,,,,,,,,,
BSW1000SS32-4,BOTGNRKYKZM2BZZF,,,,,,,,,,,,,,
FGFTL1000BU,BOTFZYCFHRRDAABY,,,,,,,,,,,,,,
BSW1000SS32-3,BOTGNRKYDZPEPKAG,,,,,,,,,,,,,,
FLKT75BLK16,BOTGY4M4QWPFZTQR,,,,,,,,,,,,,,
BSW1000SS32-6,BOTGNRKYAQWZGAHJ,,,,,,,,,,,,,,
BM0400BK04,BOTGMPXPSMHMXVN8,,,,,,,,,,,,,,
BT360PE114,BOTFMYYRHGYU95UR,,,,,,,,,,,,,,
BSW1000SS32-5,BOTGNRKYF2ZYDHHH,,,,,,,,,,,,,,
BVBTCWM750SS,BOTG5YGYRF2SGATH,,,,,,,,,,,,,,
FGFTL501BLK,BOTG4JRX2YY9QTVZ,,,,,,,,,,,,,,
FGFTL500BLA_1,BOTFTRH4SB8HX68E,,,,,,,,,,,,,,
ICSLMPK550MEC,BOTFVEJR32AXTJBH,,,,,,,,,,,,,,
FGATH500GRE_1,BOTFTRH4SPKT5GEY,,,,,,,,,,,,,,
ISFGSPO400S_1,BOTEQ6HYHQ6A6ZZN,,,,,,,,,,,,,,
ISFGBO0350S_1,BOTFTRH4GSFQ6ZE2,,,,,,,,,,,,,,
FGFTL350BLA_1,BOTFTRH4EPHYCHFB,,,,,,,,,,,,,,
BT500BE111,BOTFMYYR6GD2J3GQ,,,,,,,,,,,,,,
BVCRS2HB700EC_1,BOTGYDWKEYHTQZPY,,,,,,,,,,,,,,
BT0750BP212_1,BOTFMYYRUHQYEZUN,,,,,,,,,,,,,,
BVCRS2HB700EC,BOTGYDWKGHRKXYEY,,,,,,,,,,,,,,
MUG410GDN22,BOTGJ88S5TYZSSEB,,,,,,,,,,,,,,
BT260RG119,BOTFZYCFSFHYH79W,,,,,,,,,,,,,,
BT200SS123,BOTG4JSCYYGWR2QA,,,,,,,,,,,,,,
BT800BK129,BOTGHYCKD3BXSCMA,,,,,,,,,,,,,,
FGFTL750BLU,BOTFZYCFB9TEZSUW,,,,,,,,,,,,,,
BSW1000SS11-3,BOTGZENGAZUV5HBD,,,,,,,,,,,,,,
BT600BK128,BOTGHYCNJWWVDMPQ,,,,,,,,,,,,,,
CM500PNK41,BOTGTG33U6FQWGT5,,,,,,,,,,,,,,
FLKT15RED20,BOTFY34RXHN9DXWG,,,,,,,,,,,,,,
BT0700VLT403,BOTFZP6EHWUYZGHF,,,,,,,,,,,,,,
BVCRS3HB700EC,BOTGYDWKHBEUFHQD,,,,,,,,,,,,,,
